정세균,26,1801902,PRC_W0P8G1N1I1P2I1P5N3D4U2P9F5Q7F3,법학전문대학원 설치·운영에 관한 법률 일부개정법률안,계류,2008-11-12,"","","제안이유
  법학전문대학원은 사법제도와 연계된 법학교육을 통해 복잡다기한 법적 분쟁을 전문적·효율적으로 예방하고 해결할 능력을 갖춘 법조인을 양성하기 위해 도입되었음. 
  법학전문대학원 제도 도입과 함께 지역 간 균형을 고려하여 권역별로 설치인가 대학을 선정하였음. 이는 법조인 배출이 특정 지역에 편중되는 것을 방지하여 지역의 다양한 이해와 요청을 충실히 반영하는 법률서비스를 제공하려는 취지임. 
  이러한 지역균형의 원칙을 법률에 명시하고, 이 원칙이 실효성을 갖도록 일정한 범위에서 법학전문대학원이 해당권역 출신자를 선발하도록 규정하려는 것임. 
주요내용
  가. 법학전문대학원 설치인가의 기준으로 지역균형을 추가하고, 전국을 권역으로 나누어 권역별로 설치인가를 선정하도록 함(안 제6조).
  나. 학생구성의 기준으로 지역균형을 추가하고, 해당 권역에 소재하는 대학의 학사학위를 취득한 자의 비율이 전체의 2분의 1 이상이 되도록 함(안 제26조).","강기정,강봉균,강창일,구본철,김동철,김상희,김성곤",교육과학기술위원회
정세균,26,173917,033987,태권도 진흥 및 태권도공원 조성 등에 관한 법률안,의결,2006-02-15,2007-11-22,수정가결,"■ 제안이유
태권도는 5천년 역사를 자랑하는 우리 민족의 얼과 슬기를 담아 심신을 연마해 온 전통무예이자 우리 민족의 국난극복을 주도해 온 호국의 무예로서 전 국민의 사랑을 받아왔으며 180개국 7천여만 명의 태권도 수련인구와 올림픽 정식종목 채택 등 우리나라의 국제적 위상제고에 기여하는 대표적인 문화브랜드이자 전 세계인의 문화유산으로 정착되어가고 있음.
  태권도의 이러한 발전은 태권도지도자와 국내·외 태권도사범 등의 헌신적인 노력에 의해 이루어졌음. 그러나 현재 태권도에 대한 국민의 관심감소, 올림픽 종목의 지속적 유지 불투명 등 민간인에 의한 태권도의 발전 및 위상제고에는 한계가 있어 정부의 적극적인 태권도 진흥정책이 절실히 요구됨.
  특히, 태권도 종주국인 우리나라에는 세계태권도의 총 본산 역할을 해야 할 태권도 경기장이나 종합수련 및 연구시설 등이 미비하여 국내·외 태권도 지도자와 수련생들에게 실망을 안겨주었을 뿐만 아니라 세계화된 태권도를 국가발전의 동력으로 활용하지 못하고 있는 실정임.
  따라서, 태권도의 종주국인 우리나라가 전 세계 7천만 태권도인들의 성지(태권도공원)를 조성하여 태권도인들의 자긍심과 국가이미지를 제고시킴은 물론 나아가 후손에게 물려줄 자랑스러운 세계적 문화유산의 창조와 국가발전의 핵심동력으로 활용할 필요성이 있음.
  이에 국·내외 태권도의 저변확대 및 국제적 위상 제고 등 태권도의 지속적 발전과 전 세계 태권도인의 성지이자 우리나라의 세계적 문화유산의 역할을 할 태권도공원의 성공적 조성을 도모하기 위하여 이 법을 제정하려는 것임.
■ 주요내용
가. 태권도 진흥 및 태권도공원 조성을 통해 국민들의 자긍심을 고취하고 태권도를 세계적인 무도 및 스포츠로 발전 등에 이바지함을 목적으로 함(안 제1조).
나. 문화관광부장관이 태권도의 체계적인 보존 및 진흥을 위하여 태권도 진흥의 기본방향, 태권도지도자의 교육·양성에 관한 사항 등이 포함된 태권도진흥기본계획을 수립·시행하도록 함(안 제5조).
다. 문화관광부장관이 태권도지도자 자격검정에 합격하고 태권도지도자 연수기관에서 실시하는 연수과정을 마친 자에게 태권도지도자의 자격을 부여할 수 있도록 함(안 제7조).
라. 문화관광부장관은 태권도의 진흥을 위하여 태권도시설을 지정하고, 자금 및 설비제공 등 예산을 지원할 수 있음(안 제8조).
마. 국가는 태권도의 진흥 발전·승급 심사 및 연수·국제교류 등을 위하여 태권도 단체를 지정할 수 있으며 그 운영 및 활동에 관하여 예산을 지원할 수 있음(안 제9조).
바. 국가는 태권도의 위상제고 및 성지로서의 역할과 태권도 보급, 전시 수련, 지도자양성 등을 위하여 태권도공원을 조성할 수 있도록 함(안 제10조).
사. 태권도공원 조성사업의 효율적 추진을 위하여 ?산지법? 등 개별법령에 규정된 인·허가 등을 문화관광부장관의 승인을 얻은 경우 의제 처리토록 함(안 제12조).
아. 태권도공원 조성사업의 효율적 추진을 위하여 국·공유재산 대부·사용 및 조세 부담금의 감면을 허용토록 함(안 제14조 및 제15조).
자. 태권도 진흥사업 및 태권도공원 조성·운영 등의 효율적 추진을 위하여 태권도진흥재단을 설립함(안 제18조).
차. 태권도진흥재단의 임원은 문화관광부장관이 임면하고 임원의 임기는 3년으로 함(안 제19조).
카. 태권도진흥재단은 태권도 진흥사업 및 휘장사업을 할 수 있도록 함(안 제23조).
타. 태권도지도자 및 태권도단체의 행정사항 등 대한 권한의 일부를 지방자치단체에 위임하거나 단체에 위탁할 수 있도록 함(안 제25조).
■ 위원회 수정이유 
국내·외 태권도의 저변 확대 및 국제적 위상 제고 등 태권도의 지속적 진흥·발전을 도모하고, 전 세계 태권도인의 성지이자 우리나라의 세계적 문화브랜드 역할을 할 태권도공원의 성공적인 조성·운영을 위하여 제정안의 내용을 일부 수정하려는 것임.
  태권도의 정의 규정과 기존 국민체육진흥법과 내용 중복 등의 우려가 있는 태권도지도자 관련 규정, 태권도시설 및 단체의 지정·지원 규정에 대해 일부 조항은 삭제 또는 수정하였으며, 태권도에 대한 국민의 관심제고 및 태권도인의 자부심 고취를 위해 “태권도의 날” 조항을 신설하고, 원활한 사업추진을 위해 기본계획 및 실시계획의 승인, 민자유치, 토지수용에 대한 근거조항, 태권도단체 간 역할 정립 및 상호협력 등을 위해 국기원의 법적 근거를 신설하는 등 태권도 진흥 및 태권도공원 조성사업을 보다 효율적으로 추진하기 위해 일부조항을 수정·보완하려는 것임.
■ 위원회 수정주요내용 
  가. 태권도는 전 세계적으로 일반화된 무술 종목이기 때문에 별도로 태권도의 정의를 규정할 필요가 없으므로 관련 항을 삭제함(안 제2조)
  나. 태권도진흥기본계획의 수립·시행은 국가가 추진토록 하고, 태권도진흥기본계획에 따른 지방자치단체의 세부시행계획 수립·시행 의무를 조항을 삭제하여 각 지방자치단체에 자율성을 부여함(안 제5조)
  다. 태권도 지도자는 체육지도자 중 태권도 종목의 지도자로서 현행 국민체육진흥법 및 체육시설의 설치 및 이용에 관한 법률만으로도 양성이 가능하므로 관련 조항을 삭제함(안 제7조)
  라. 태권도에 대한 국민의 관심 제고 및 태권도인의 자부심 고취를 위해 태권도의 날 지정 조항을 신설함
  마. 특정 단체 및 시설만을 지정하여 민법에 의해 설립된 단체를 차별화하는 것은 법 정신에 위배되므로 관련 조항을 삭제 또는 통합하여 태권도단체 및 태권도시설에 대해 지원할 수 있는 근거 규정만을 둠(안 제8조, 제9조)
  바. 태권도공원의 조성 근거, 태권도공원의 주요 기능 및 조성지역을 명확하게 하기 위하여 태권도공원 조성지를 전라북도 무주군으로 명시함(안 제10조)
  사. 태권도공원 조성지구 내 민자유치의 활성화를 위하여 태권도공원 조성사업 시행자의 범위에 민간사업자도 포함토록 함(안 제11조)
  아. 공원 개발 및 민자유치 활성화, 토지매입의 원활한 추진을 위해 기본계획 승인, 실시계획 승인, 민자유치, 토지 등의 수용 및 사용 등에 관한 규정을 신설함
  자. 인·허가 등의 의제는 관계부처의 의견을 반영하여, 자구 수정 및 불필요한 조항은 삭제하고 일부 규정은 신설함(안 제12조)
  치. 기부금품의 모집이 허가제에서 등록제로 변경됨에 따라 관련 항을 삭제하고 기부금품의 접수 근거 규정만 둠(안 제13조)
  카. 조세특례, 부담금 감면 등은 해당 법률에서 직접 규정하는 것이 타당하므로, 조세감면 등 관련 조항을 삭제함(안 제15조)
  타. 태권도진흥을 위한 각종 사업을 실시토록 하기 위해 국기원의 설립근거를 신설함
  파. 태권도단체 간 역할정립 등을 위해 태권도진흥재단의 목적사업 관련 규정을 수정하고, 태권도진흥재단 임원의 결격사유, 회계감독 등은 정관에 정하도록 관련 조항을 삭제함(안 제18조)
  하. 태권도공원 조성사업 및 국기원에 대한 경과조치 조문을 신설함","강기정,강길부,강봉균,강창일,강혜숙,구논회,권선택",문화관광위원회
정세균,26,173828,033755,국회운영위원장(정세균) 사임의 건,의결,2006-01-31,2006-01-31,원안가결,"","정세균,,,,,,",2006-01-31
정세균,26,172904,032100,국무총리 및 국무위원 출석요구의 건(교육·사회·문화에 관한 질문),의결,2005-10-11,2005-10-12,원안가결,"","강재섭,김낙성,이낙연,정세균,천영세,,",2005-10-12
정세균,26,172903,032099,국무총리 및 국무위원 출석요구의 건(경제에 관한 질문),의결,2005-10-11,2005-10-12,원안가결,"","강재섭,김낙성,이낙연,정세균,천영세,,",2005-10-12
정세균,26,172902,032098,국무총리 및 국무위원 출석요구의 건(통일·외교·안보에 관한 질문),의결,2005-10-11,2005-10-12,원안가결,"","강재섭,김낙성,이낙연,정세균,천영세,,",2005-10-12
정세균,26,172901,032097,국무총리 및 국무위원 출석요구의 건(정치에 관한 질문),의결,2005-10-11,2005-10-12,원안가결,"","강재섭,김낙성,이낙연,정세균,천영세,,",2005-10-12
정세균,26,172900,032096,국무총리 및 국무위원 출석요구의 건(국정에 관한 교섭단체 대표연설),의결,2005-10-11,2005-10-12,원안가결,"","강재섭,김낙성,이낙연,정세균,천영세,,",2005-10-12
정세균,26,171922,030741,국무총리 및 국무위원 출석요구의 건(교육·사회·문화에 관한 질문),의결,2005-06-01,2005-06-02,원안가결,"","강재섭,이낙연,정세균,,,,",2005-06-02
정세균,26,171921,030740,국무총리 및 국무위원 출석요구의 건(경제에 관한 질문),의결,2005-06-01,2005-06-02,수정가결,"","강재섭,이낙연,정세균,,,,",2005-06-02
정세균,26,171920,030739,국무총리 및 국무위원 출석요구의 건(통일·외교·안보에 관한 질문),의결,2005-06-01,2005-06-02,원안가결,"","강재섭,이낙연,정세균,,,,",2005-06-02
