종로,새누리당,http://info.nec.go.kr/photo_20120411/Sd1100/Gsg1101/Sgg2110101/Hb100102451/gicho/100102451.jpg,홍사덕,洪思德,남,1943/03/05,69세,서울 종로구 가회동,국회의원,서울대학교 외교학과 졸업,"(전)국회부의장,(현)18대 국회의원(6선)"
종로,민주통합당,http://info.nec.go.kr/photo_20120411/Sd1100/Gsg1101/Sgg2110101/Hb100101021/gicho/100101021.jpg,정세균,丁世均,남,1950/09/26,61세,서울 종로구 동망산길,국회의원,경희대학교 대학원 경영학 박사,"(전)민주당 대표,(전)노무현정부 산업자원부 장관"
종로,자유선진당,http://info.nec.go.kr/photo_20120411/Sd1100/Gsg1101/Sgg2110101/Hb100102900/gicho/100102900.jpg,김성은,金聖恩,여,1965/10/22,46세,서울 종로구 숭인동,사단법인 21세기문화예술협회 대표이사,한국방송통신대학교 경제학과 재학,"(전)종로구의원,(전)제6대 지방선거 종로구청장 출마"
종로,국민의 힘,http://info.nec.go.kr/photo_20120411/Sd1100/Gsg1101/Sgg2110101/Hb100100585/gicho/100100585.jpg,김준수,金俊洙,남,1960/09/01,51세,서울 종로구 평창동,정당인,부산대학교 사범대학 교육학과 2년 제적,(현)국민의 힘 서울시당 부위원장
종로,국민행복당,http://info.nec.go.kr/photo_20120411/Sd1100/Gsg1101/Sgg2110101/Hb100101844/gicho/100101844.jpg,홍성훈,洪性焄,남,1945/03/09,67세,서울 종로구 자하문로 19길 ,(전)언론인,학점인정등에 관한 법률의 규정에 의한 경영학사학위 취득,"(전)동아일보사 부장(동우회 편집위원),(현)사단법인 한국문협 종로문인협회 회장"
종로,불교연합당,http://info.nec.go.kr/photo_20120411/Sd1100/Gsg1101/Sgg2110101/Hb100100199/gicho/100100199.jpg,정재복,鄭在福,남,1946/05/03,65세,서울 노원구 동일로,이코바이오글로벌 총판 운영,미기재,"(전)건국당 대표,(현)불교연합당 충청남도 도당대표"
종로,정통민주당,http://info.nec.go.kr/photo_20120411/Sd1100/Gsg1101/Sgg2110101/Hb100102706/gicho/100102706.jpg,정흥진,鄭興鎭,남,1944/06/09,67세,서울 종로구 창신동,정당인,한양대학교 행정대학원 졸업(석사),"(전)민선 초대 및 2대 종로구청장,(현)정통민주당 최고위원"
종로,진보신당,http://info.nec.go.kr/photo_20120411/Sd1100/Gsg1101/Sgg2110101/Hb100100840/gicho/100100840.jpg,최백순,崔伯洵,남,1966/07/15,45세,서울 종로구 행촌동,정당인,단국대학교 경제학과 졸업,"(현)진보신당 종로구당원협의회 위원장,(현)종로구 친환경무상급식 추진운동본부 공동대표"
종로,무소속,http://info.nec.go.kr/photo_20120411/Sd1100/Gsg1101/Sgg2110101/Hb100102728/gicho/100102728.jpg,류승구,柳承求,남,1961/07/28,50세,서울 종로구 부암동,덕을 나누는 사람들 대표,미기재,"(현)대한민국 만년역사 연구원 대표,(전)제17대 대통령선거 예비후보"
종로,무소속,http://info.nec.go.kr/photo_20120411/Sd1100/Gsg1101/Sgg2110101/Hb100100586/gicho/100100586.jpg,서맹종,徐孟鍾,남,1952/03/13,60세,서울 종로구 동숭동,세무사,한국방송통신대학교 대학원 졸업(행정학 석사),"(전)국세청 서기관,(현)책 저술가"
중구,새누리당,http://info.nec.go.kr/photo_20120411/Sd1100/Gsg1102/Sgg2110201/Hb100102464/gicho/100102464.jpg,정진석,鄭鎭碩,남,1960/09/04,51세,서울 중구 다산로,정당인,고려대학교 정치외교학과 졸업,"(전)16, 17, 18대 국회의원,(전)대통령실 정무수석비서관"
중구,민주통합당,http://info.nec.go.kr/photo_20120411/Sd1100/Gsg1102/Sgg2110201/Hb100100771/gicho/100100771.jpg,정호준,鄭皓駿,남,1971/02/19,41세,서울 중구 신당3동 ,정당인(서울중구 지역위원장),뉴욕대학교(NYU) 그래픽커뮤니케이션 매니지먼트&테크놀러지 석사('97.9.~'99.5.),"(전)노무현대통령 청와대비서실 정무행정관,(현)정일형 · 이태영박사 기념사업회 이사장"
